county_name,article,tax_allocation_point_of_sale,gs_105_524_adjustments,tax_allocation_other_1,article_42_adjustment_2,cost_of_collection_3,per_capita_adjustments,gs_105_486_b_adjustment_4,distributable_proceeds,month,year,date,fiscal_year
Avery,40,129090.84,-3869.49,0,0,-418.24,-22362.06,12663.95,115105,july,2016,2016-07-01,2017
Avery,40-Food,0,0,11489.17,0,-38.37,0,1415.57,12866.37,july,2016,2016-07-01,2017
Avery,42,129090.84,-3869.49,0,-1340.01,-413.76,0,0,123467.58,july,2016,2016-07-01,2017
Avery,42-Food,0,0,11489.17,0,-38.37,0,1415.57,12866.37,july,2016,2016-07-01,2017
Avery,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Avery,44,49.35,0,0,0,-0.16,0,0,49.19,july,2016,2016-07-01,2017
Avery,44 *524(c.),0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Avery,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Avery,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Avery,Total,516412.65,-15477.96,59970.9,-1340.01,-1868.94,-22362.06,15495.09,550829.67,july,2016,2016-07-01,2017
Beaufort,39,382245.29,-11457.78,0,0,-1238.43,0,0,369549.08,july,2016,2016-07-01,2017
Beaufort,39-Food,0,0,81246.12,0,-271.36,0,0,80974.76,july,2016,2016-07-01,2017
Beaufort,40,191122.63,-5728.89,0,0,-619.22,88384.45,17325.86,290484.83,july,2016,2016-07-01,2017
Beaufort,40-Food,0,0,30635.86,0,-102.32,0,1936.67,32470.21,july,2016,2016-07-01,2017
Beaufort,42,191122.63,-5728.89,0,-1983.92,-612.59,0,0,182797.23,july,2016,2016-07-01,2017
Beaufort,42-Food,0,0,30635.86,0,-102.32,0,1936.67,32470.21,july,2016,2016-07-01,2017
Beaufort,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Beaufort,44,36.37,0,0,0,-0.12,0,0,36.25,july,2016,2016-07-01,2017
Beaufort,44 *524(c.),0,12010.93,0,0,-40.12,0,0,11970.81,july,2016,2016-07-01,2017
Beaufort,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Beaufort,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Beaufort,Total,764526.92,-10904.63,142517.84,-1983.92,-2986.48,88384.45,21199.2,1000753.38,july,2016,2016-07-01,2017
Bertie,39,76066.94,-2280.1,0,0,-246.45,0,0,73540.39,july,2016,2016-07-01,2017
Bertie,39-Food,0,0,11030.16,0,-36.84,0,0,10993.32,july,2016,2016-07-01,2017
Bertie,40,38033.48,-1140.05,0,0,-123.22,81253.1,-3170.49,114852.82,july,2016,2016-07-01,2017
Bertie,40-Food,0,0,13236.78,0,-44.21,0,-354.4,12838.17,july,2016,2016-07-01,2017
Bertie,42,38033.48,-1140.05,0,-394.8,-121.91,0,0,36376.72,july,2016,2016-07-01,2017
Bertie,42-Food,0,0,13236.78,0,-44.21,0,-354.4,12838.17,july,2016,2016-07-01,2017
Bertie,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Bertie,44,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Bertie,44 *524(c.),0,66413.39,0,0,-221.82,0,0,66191.57,july,2016,2016-07-01,2017
Bertie,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Bertie,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Bertie,Total,152133.9,61853.19,37503.72,-394.8,-838.66,81253.1,-3879.29,327631.16,july,2016,2016-07-01,2017
Bladen,39,204541.05,-6131.11,0,0,-662.69,0,0,197747.25,july,2016,2016-07-01,2017
Bladen,39-Food,0,0,40301.61,0,-134.61,0,0,40167,july,2016,2016-07-01,2017
Bladen,40,102270.52,-3065.55,0,0,-331.34,102132.95,8716.26,209722.84,july,2016,2016-07-01,2017
Bladen,40-Food,0,0,22543.68,0,-75.3,0,974.3,23442.68,july,2016,2016-07-01,2017
Bladen,42,102270.52,-3065.55,0,-1061.6,-327.8,0,0,97815.57,july,2016,2016-07-01,2017
