county,gross_collections,foreign_collections,refunds,net_collections,month,year,date,fiscal_year
Northhampton,176967.458391254,0,10411.208391254,166556.25,april,2015,2015-04-01,2015
Onslow,4095923.4540843503,0,111500.89408435,3984422.56,april,2015,2015-04-01,2015
Orange,3576252.513268968,0,669116.293268968,2907136.22,april,2015,2015-04-01,2015
Pamlico,184226.89110248705,0,5054.761102487,179172.13,april,2015,2015-04-01,2015
Pasquotank,918369.7296367022,0,78784.929636702,839584.8,april,2015,2015-04-01,2015
Pender,800257.9085710429,0,47047.078571043,753210.8299999998,april,2015,2015-04-01,2015
Perquimans,160922.609047695,0,2032.209047695,158890.4,april,2015,2015-04-01,2015
Person,671744.286765196,0,15696.416765196,656047.87,april,2015,2015-04-01,2015
Pitt,4575282.198684844,0,132412.898684844,4442869.3,april,2015,2015-04-01,2015
Polk,283917.131743097,0,74438.97174309699,209478.16,april,2015,2015-04-01,2015
Randolph,2305460.198433638,0,282258.698433638,2023201.5,april,2015,2015-04-01,2015
Richmond,800236.9672598828,0,8495.337259883,791741.63,april,2015,2015-04-01,2015
Robeson,2275612.2513396763,0,77525.261339676,2198086.99,april,2015,2015-04-01,2015
Rockingham,1522972.581149555,0,281457.721149555,1241514.86,april,2015,2015-04-01,2015
Rowan,2628924.949592228,0,335343.779592228,2293581.17,april,2015,2015-04-01,2015
Rutherford,1084112.335631288,0,159427.345631288,924684.9900000001,april,2015,2015-04-01,2015
Sampson,1021184.853287279,0,105148.473287279,916036.38,april,2015,2015-04-01,2015
Scotland,641149.955211164,0,76252.99521116399,564896.96,april,2015,2015-04-01,2015
Stanly,1118715.104440129,0,124635.734440129,994079.37,april,2015,2015-04-01,2015
Stokes,456163.18958208,0,6261.12958208,449902.06,april,2015,2015-04-01,2015
Surry,1914091.282800536,0,214957.802800536,1699133.48,april,2015,2015-04-01,2015
Swain,188807.071658202,0,2826.231658202,185980.84,april,2015,2015-04-01,2015
Transylvania,577702.849416308,0,88482.659416308,489220.19,april,2015,2015-04-01,2015
Tyrrell,43412.97599516,0,1185.32599516,42227.65,april,2015,2015-04-01,2015
Union,3682454.783212773,0,911946.2032127728,2770508.58,april,2015,2015-04-01,2015
Vance,897766.0353613461,0,27845.125361346,869920.91,april,2015,2015-04-01,2015
Wake,27777056.62440145,0,6991325.024401448,20785731.6,april,2015,2015-04-01,2015
Warren,158836.316656193,0,7882.816656193,150953.5,april,2015,2015-04-01,2015
Washington,169030.255006027,0,25661.725006027,143368.53,april,2015,2015-04-01,2015
Watauga,1330696.397488887,0,38106.657488887,1292589.74,april,2015,2015-04-01,2015
Wayne,2434112.767480759,0,509887.147480759,1924225.62,april,2015,2015-04-01,2015
