county,gross_collections,foreign_collections,refunds,net_collections,month,year,date,fiscal_year
Wayne,3539756.85,7977.58,48799.39,3498935.04,august,2021,2021-08-01,2022
Wilkes,2065829.58,4423.46,37704.36,2032548.68,august,2021,2021-08-01,2022
Wilson,2752367.17,6297.42,28629.66,2730034.93,august,2021,2021-08-01,2022
Yadkin,708313.57,1512.83,4918.28,704908.12,august,2021,2021-08-01,2022
Yancey,493337.76,1103.95,5480.33,488961.38,august,2021,2021-08-01,2022
Alamance,4464045.454315665,0,15334.954315665,4448710.5,december,2015,2015-12-01,2016
Alexander,422184.94345302,0,967.53345302,421217.41,december,2015,2015-12-01,2016
Alleghany,138519.925530485,0,302.365530485,138217.56,december,2015,2015-12-01,2016
Anson,332205.88033894,0,434.86033894,331771.02,december,2015,2015-12-01,2016
Ashe,524179.09344640496,0,5151.273446405,519027.82,december,2015,2015-12-01,2016
Avery,461954.63254053507,0,5104.302540535,456850.33,december,2015,2015-12-01,2016
Beaufort,931236.41553507,0,140753.87553507,790482.54,december,2015,2015-12-01,2016
Bertie,178288.86250723503,0,12947.222507235,165341.64,december,2015,2015-12-01,2016
Bladen,428373.41671105,0,42078.04671105,386295.37,december,2015,2015-12-01,2016
Brunswick,2455237.73491091,0,52639.35491091,2402598.38,december,2015,2015-12-01,2016
Buncombe,10081945.03413082,0,111993.01413082,9969952.02,december,2015,2015-12-01,2016
Burke,1654373.2384190052,0,4485.668419005,1649887.57,december,2015,2015-12-01,2016
Cabarrus,6427098.938933941,0,158492.24893394,6268606.69,december,2015,2015-12-01,2016
Caldwell,1306252.8169083947,0,1600.0569083950002,1304652.76,december,2015,2015-12-01,2016
Camden,98715.344806225,0,87.64480622499998,98627.7,december,2015,2015-12-01,2016
Carteret,1754635.107781165,0,19537.167781165,1735097.94,december,2015,2015-12-01,2016
Caswell,158343.51893469502,0,53.318934695,158290.2,december,2015,2015-12-01,2016
Catawba,4528364.908804925,0,403508.25880492496,4124856.65,december,2015,2015-12-01,2016
Chatham,1102108.1876259649,0,16855.747625965,1085252.44,december,2015,2015-12-01,2016
Cherokee,562253.503705565,0,755.533705565,561497.97,december,2015,2015-12-01,2016
Chowan,223780.12573647496,0,40924.245736475,182855.88,december,2015,2015-12-01,2016
Clay,142658.09825917002,0,738.58825917,141919.51,december,2015,2015-12-01,2016
Cleveland,1699729.74539132,0,35599.68539132,1664130.06,december,2015,2015-12-01,2016
Columbus,763583.15289273,0,100996.68289273,662586.47,december,2015,2015-12-01,2016
Craven,2049020.2627668448,0,18929.972766845,2030090.29,december,2015,2015-12-01,2016
Cumberland,8017382.899410466,0,48777.039410465,7968605.86,december,2015,2015-12-01,2016
Currituck,434909.70099457,0,2496.57099457,432413.13,december,2015,2015-12-01,2016
Dare,1544235.03363493,0,69443.77363493,1474791.26,december,2015,2015-12-01,2016
Davidson,2503438.24907466,0,274533.99907466,2228904.25,december,2015,2015-12-01,2016
Davie,670644.64123163,0,-43879.90876837,714524.55,december,2015,2015-12-01,2016
Duplin,811244.1130876449,0,50498.833087645,760745.28,december,2015,2015-12-01,2016
Durham,13807257.412015973,0,294848.33201597,13512409.08,december,2015,2015-12-01,2016
Edgecombe,709171.72445636,0,154212.34445636,554959.38,december,2015,2015-12-01,2016
Forsyth,9927755.56410213,0,338819.66410213,9588935.9,december,2015,2015-12-01,2016
Franklin,758424.4392050549,0,1916.119205055,756508.3199999998,december,2015,2015-12-01,2016
Gaston,4174967.19738086,0,54952.45738086,4120014.74,december,2015,2015-12-01,2016
Gates,84839.18560134499,0,46.665601345,84792.52,december,2015,2015-12-01,2016
Graham,112796.829802905,0,96.739802905,112700.09,december,2015,2015-12-01,2016
Granville,715369.6194863148,0,33981.539486315,681388.08,december,2015,2015-12-01,2016
Greene,161007.56918275502,0,503.339182755,160504.23,december,2015,2015-12-01,2016
Guilford,13532657.57332114,0,627283.1633211401,12905374.41,december,2015,2015-12-01,2016
Halifax,965522.83059374,0,184784.02059374,780738.81,december,2015,2015-12-01,2016
Harnett,1633049.0725717798,0,4428.40257178,1628620.67,december,2015,2015-12-01,2016
Haywood,1459562.114952705,0,17733.064952704997,1441829.05,december,2015,2015-12-01,2016
Henderson,2317404.57082892,0,55748.360828920006,2261656.21,december,2015,2015-12-01,2016
Hertford,473955.89932898496,0,81172.169328985,392783.73,december,2015,2015-12-01,2016
Hoke,424542.10348404,0,485.27348404,424056.83,december,2015,2015-12-01,2016
Hyde,74318.78257366,0,3058.7025736600003,71260.08,december,2015,2015-12-01,2016
Iredell,4136408.1896710554,0,16502.659671055,4119905.53,december,2015,2015-12-01,2016
Jackson,872924.73360153,0,67235.85360153,805688.88,december,2015,2015-12-01,2016
Johnston,3158883.8426497304,0,49677.66264973,3109206.18,december,2015,2015-12-01,2016
Jones,65183.461707655,0,293.461707655,64890,december,2015,2015-12-01,2016
Lee,1439062.8337035351,0,2749.793703535,1436313.04,december,2015,2015-12-01,2016
Lenoir,1039353.57880202,0,7664.70880202,1031688.87,december,2015,2015-12-01,2016
Lincoln,1330846.51637241,0,32855.39637241,1297991.12,december,2015,2015-12-01,2016
Macon,868863.9143457351,0,3268.854345735,865595.06,december,2015,2015-12-01,2016
Madison,231700.88757036495,0,32751.527570365,198949.36,december,2015,2015-12-01,2016
Martin,431136.029506185,0,1914.639506185,429221.39,december,2015,2015-12-01,2016
McDowell,663618.9408927399,0,-9964.62910726,673583.57,december,2015,2015-12-01,2016
Mecklenburg,41259371.02153372,0,5293092.3815337205,35966278.64,december,2015,2015-12-01,2016
Mitchell,301375.8499779249,0,438.559977925,300937.29,december,2015,2015-12-01,2016
Montgomery,377350.58972986497,0,8483.459729865,368867.13,december,2015,2015-12-01,2016
Moore,2291436.11259859,0,5159.47259859,2286276.64,december,2015,2015-12-01,2016
Nash,2063681.430246355,0,8872.210246355,2054809.22,december,2015,2015-12-01,2016
New Hanover,7801005.00279696,0,28931.562796960003,7772073.44,december,2015,2015-12-01,2016
Northampton,198071.57712739,0,37569.46712739,160502.11,december,2015,2015-12-01,2016
Onslow,3852819.22565965,0,569403.7556596501,3283415.47,december,2015,2015-12-01,2016
Orange,3590310.100204435,0,11381.460204435,3578928.64,december,2015,2015-12-01,2016
Pamlico,174370.29058253998,0,11417.49058254,162952.8,december,2015,2015-12-01,2016
Pasquotank,915059.733032345,0,527.683032345,914532.05,december,2015,2015-12-01,2016
Pender,732412.7346314051,0,1557.274631405,730855.4599999998,december,2015,2015-12-01,2016
Perquimans,122944.450095265,0,98.200095265,122846.25,december,2015,2015-12-01,2016
Person,644987.61999351,0,5994.73999351,638992.88,december,2015,2015-12-01,2016
Pitt,4524637.715449025,0,2060558.195449025,2464079.52,december,2015,2015-12-01,2016
Polk,222189.86765009505,0,35750.447650095004,186439.42,december,2015,2015-12-01,2016
Randolph,2296848.976073585,0,8148.286073585,2288700.69,december,2015,2015-12-01,2016
Richmond,737409.7367133548,0,1062.496713355,736347.24,december,2015,2015-12-01,2016
Robeson,2147359.81285096,0,21391.89285096,2125967.92,december,2015,2015-12-01,2016
Rockingham,1401977.64337131,0,12941.58337131,1389036.06,december,2015,2015-12-01,2016
Rowan,2522100.97303267,0,3974.77303267,2518126.2,december,2015,2015-12-01,2016
Rutherford,1046109.649601575,0,12684.139601575,1033425.51,december,2015,2015-12-01,2016
Sampson,960310.022356795,0,917.242356795,959392.78,december,2015,2015-12-01,2016
Scotland,588659.79656492,0,12583.05656492,576076.74,december,2015,2015-12-01,2016
Stanly,1108531.35343102,0,121473.43343102,987057.92,december,2015,2015-12-01,2016
Stokes,445283.09019722,0,1165.32019722,444117.77,december,2015,2015-12-01,2016
Surry,1816186.6380757047,0,15008.878075705,1801177.76,december,2015,2015-12-01,2016
Swain,287772.197749795,0,160.537749795,287611.66,december,2015,2015-12-01,2016
Transylvania,601688.36228586,0,2466.57228586,599221.79,december,2015,2015-12-01,2016
Tyrrell,47092.148427475,0,22.628427475,47069.52,december,2015,2015-12-01,2016
Union,3603250.875571225,0,30204.595571225,3573046.28,december,2015,2015-12-01,2016
Vance,875012.1966690798,0,51930.85666908,823081.3399999999,december,2015,2015-12-01,2016
Wake,28004873.162915364,0,271830.912915365,27733042.25,december,2015,2015-12-01,2016
Warren,156435.10637434,0,1204.89637434,155230.21,december,2015,2015-12-01,2016
Washington,173185.43109417,0,92.34109417,173093.09,december,2015,2015-12-01,2016
Watauga,1503855.1497213198,0,5868.76972132,1497986.38,december,2015,2015-12-01,2016
Wayne,2370559.475161125,0,138448.685161125,2232110.79,december,2015,2015-12-01,2016
Wilkes,1160274.9957743098,0,103418.82577431,1056856.17,december,2015,2015-12-01,2016
Wilson,1804314.494598455,0,13841.794598455,1790472.7,december,2015,2015-12-01,2016
Yadkin,418505.2396191401,0,7074.719619140001,411430.52,december,2015,2015-12-01,2016
Yancey,237902.71092807,0,8885.69092807,229017.02,december,2015,2015-12-01,2016
Alamance,4678596.96,12667.419999999998,11213.09,4680051.29,december,2016,2016-12-01,2017
Alexander,479663.62,1143.23,783.16,480023.69,december,2016,2016-12-01,2017
Alleghany,165837.46,401.68,142.56,166096.58,december,2016,2016-12-01,2017
Anson,336357.50999999995,806.89,1130.79,336033.61,december,2016,2016-12-01,2017
Ashe,580852.02,1473.59,8009.1,574316.51,december,2016,2016-12-01,2017
Avery,439980.82,1125.29,2706.37,438399.74,december,2016,2016-12-01,2017
Beaufort,968273.13,2193.05,89356.90000000001,881109.2799999998,december,2016,2016-12-01,2017
Bertie,206365.52,504.68,-491.3,207361.5,december,2016,2016-12-01,2017
Bladen,455706.99,1117.08,-4888.17,461712.24,december,2016,2016-12-01,2017
Brunswick,2831289.93,7571.9299999999985,10291.58,2828570.28,december,2016,2016-12-01,2017
Buncombe,10888564.39,28152.52,557580.48,10359136.43,december,2016,2016-12-01,2017
Burke,1511698.14,3239,164119.72,1350817.42,december,2016,2016-12-01,2017
Cabarrus,6874082.17,18826.04,26942.12,6865966.09,december,2016,2016-12-01,2017
Caldwell,1307722.9900000002,2953.67,90889.37,1219787.29,december,2016,2016-12-01,2017
Camden,104550.71,258.93,648.3100000000001,104161.33,december,2016,2016-12-01,2017
Carteret,1864600.59,4855.08,10369.86,1859085.81,december,2016,2016-12-01,2017
Caswell,159109.83,338.54,376.63,159071.74,december,2016,2016-12-01,2017
Catawba,4865205.710000001,13148.06,-50269.27,4928623.04,december,2016,2016-12-01,2017
Chatham,1227973.7899999998,3250.8,-1850.05,1233074.64,december,2016,2016-12-01,2017
Cherokee,678254.89,1753.91,773.98,679234.8200000001,december,2016,2016-12-01,2017
Chowan,241719.89,598.69,150.79,242167.79,december,2016,2016-12-01,2017
Clay,158826.74,398.7,239.22,158986.22,december,2016,2016-12-01,2017
Cleveland,1751095.28,4380.5,10508.98,1744966.8,december,2016,2016-12-01,2017
Columbus,895047.0499999998,2010.34,78358.05,818699.34,december,2016,2016-12-01,2017
Craven,2140899.99,5677.68,-15283.82,2161861.49,december,2016,2016-12-01,2017
Cumberland,8733964.82,22301.74,310045.77,8446220.790000001,december,2016,2016-12-01,2017
Currituck,490491.05,1279.94,444.99,491326,december,2016,2016-12-01,2017
Dare,2018781.88,5525.4400000000005,8751.51,2015555.81,december,2016,2016-12-01,2017
Davidson,2744735.5600000005,6789.17,14357.99,2737166.74,december,2016,2016-12-01,2017
Davie,680292.8300000001,1751.13,1506.41,680537.55,december,2016,2016-12-01,2017
Duplin,944162.05,2412.19,-18466.33,965040.57,december,2016,2016-12-01,2017
Durham,14991622.53,41353.59,129700.75,14903275.37,december,2016,2016-12-01,2017
Edgecombe,824176.69,1963.74,1922.24,824218.19,december,2016,2016-12-01,2017
Forsyth,11056282.22,28916.96,338656.31,10746542.87,december,2016,2016-12-01,2017
Franklin,851920.94,2224.44,-18050.75,872196.13,december,2016,2016-12-01,2017
Gaston,4624604.72,12000.17,7828.6,4628776.29,december,2016,2016-12-01,2017
Gates,95133.77,196.58,69.83,95260.52,december,2016,2016-12-01,2017
Graham,149444.23,375.86,66.09,149754,december,2016,2016-12-01,2017
Granville,775259.13,1806.87,34687.46000000001,742378.5399999998,december,2016,2016-12-01,2017
Greene,155608.84,336.38,76.78,155868.44,december,2016,2016-12-01,2017
Guilford,14863468.499999998,39836.630000000005,117853.91,14785451.22,december,2016,2016-12-01,2017
Halifax,1069512.64,2700.87,5965.53,1066247.98,december,2016,2016-12-01,2017
Harnett,1896005.51,4777.02,10119.36,1890663.17,december,2016,2016-12-01,2017
Haywood,1543069.21,3727.52,95555.78,1451240.95,december,2016,2016-12-01,2017
Henderson,2535583.97,6713.83,4080.14,2538217.66,december,2016,2016-12-01,2017
Hertford,499543.17,1244.5800000000002,266.95,500520.8,december,2016,2016-12-01,2017
Hoke,462964.71,1122.47,522.35,463564.83,december,2016,2016-12-01,2017
Hyde,77614.31999999998,161.91,9736.81,68039.42,december,2016,2016-12-01,2017
Iredell,4566911.43,12005.1,129843.35,4449073.18,december,2016,2016-12-01,2017
Jackson,1063541.92,2805.53,1145.65,1065201.8,december,2016,2016-12-01,2017
Johnston,3742269.67,9975.439999999999,4175.84,3748069.27,december,2016,2016-12-01,2017
Jones,94781.46999999999,237.85,-1910.64,96929.96,december,2016,2016-12-01,2017
Lee,1593289.32,4155.52,5869.360000000001,1591575.48,december,2016,2016-12-01,2017
Lenoir,1163246.9800000002,2952.64,3748.52,1162451.1,december,2016,2016-12-01,2017
Lincoln,1599684.69,4142.97,13549.14,1590278.52,december,2016,2016-12-01,2017
Macon,977131.84,2607.93,1371.92,978367.85,december,2016,2016-12-01,2017
Madison,248470.83,578.54,7486.84,241562.53,december,2016,2016-12-01,2017
Martin,449490.46,1138.02,331.48,450297,december,2016,2016-12-01,2017
McDowell,793732.7399999999,1797.12,71961.31999999999,723568.5399999998,december,2016,2016-12-01,2017
Mecklenburg,44573863.19,123155.3,478044.3000000001,44218974.19,december,2016,2016-12-01,2017
Mitchell,324396.89,831.53,295.98,324932.44,december,2016,2016-12-01,2017
Montgomery,386453.48,906.27,2496.74,384863.01,december,2016,2016-12-01,2017
Moore,2651333.51,7086.01,17781.5,2640638.02,december,2016,2016-12-01,2017
Nash,2189465.01,5615.87,16824.7,2178256.18,december,2016,2016-12-01,2017
New Hanover,8845334.569999998,24113.69,25122.54,8844325.72,december,2016,2016-12-01,2017
Northampton,179475.59000000003,434.87,902.42,179008.04,december,2016,2016-12-01,2017
Onslow,4131354,10872.25,18904.99,4123321.26,december,2016,2016-12-01,2017
Orange,4189698.9100000006,11098.36,29613.48,4171183.79,december,2016,2016-12-01,2017
Pamlico,193065.19,454.29,6844.01,186675.47,december,2016,2016-12-01,2017
Pasquotank,1060571.34,2817.2,1079.27,1062309.27,december,2016,2016-12-01,2017
Pender,852998.18,2166.5,4803.570000000001,850361.1100000001,december,2016,2016-12-01,2017
Perquimans,136404.93,317.4,507.94,136214.38999999998,december,2016,2016-12-01,2017
Person,653140.6299999999,1639.18,523.19,654256.62,december,2016,2016-12-01,2017
Pitt,5146282.050000001,13698.25,51024.74,5108955.5600000005,december,2016,2016-12-01,2017
Polk,279167.99000000005,605.17,27117.89,252655.27,december,2016,2016-12-01,2017
Randolph,2515546.19,6320.14,5678.299999999999,2516188.0300000003,december,2016,2016-12-01,2017
Richmond,771229.76,1930.63,1416.7399999999998,771743.65,december,2016,2016-12-01,2017
Robeson,2378582.39,5993.31,13582.4,2370993.3,december,2016,2016-12-01,2017
Rockingham,1512786.7199999995,3706.6,6620.92,1509872.4,december,2016,2016-12-01,2017
Rowan,2694077.12,6823.34,15663.26,2685237.2,december,2016,2016-12-01,2017
Rutherford,1192651.6900000002,3004.3900000000003,6578.56,1189077.52,december,2016,2016-12-01,2017
Sampson,1078826.13,2714.9,-1699.85,1083240.88,december,2016,2016-12-01,2017
Scotland,647315.9700000001,1576.2600000000002,14831.17,634061.06,december,2016,2016-12-01,2017
Stanly,1218998.6,3109.61,886.15,1221222.06,december,2016,2016-12-01,2017
Stokes,523502.64,1261.67,664.19,524100.12,december,2016,2016-12-01,2017
Surry,1962331.77,4591.71,161748.48,1805175,december,2016,2016-12-01,2017
Swain,298811.07000000007,694.35,27926.71,271578.71,december,2016,2016-12-01,2017
Transylvania,659517.26,1663.68,8534.78,652646.16,december,2016,2016-12-01,2017
Tyrrell,51132.98,125.53,23.78,51234.73,december,2016,2016-12-01,2017
Union,4295808.44,11471.87,16035.21,4291245.1,december,2016,2016-12-01,2017
Vance,913954.4799999999,2302.42,8320.35,907936.55,december,2016,2016-12-01,2017
Wake,31494000.21,81345.32,1827022.07,29748323.46,december,2016,2016-12-01,2017
Warren,172352.72,381.57,259.97,172474.32,december,2016,2016-12-01,2017
Washington,169594.54,395.33,334.1,169655.77,december,2016,2016-12-01,2017
Watauga,1718573.83,4669.42,10975.56,1712267.69,december,2016,2016-12-01,2017
Wayne,2568075.68,6371.4800000000005,109360.98,2465086.18,december,2016,2016-12-01,2017
Wilkes,1301600.2799999998,3262.03,6623.48,1298238.8299999998,december,2016,2016-12-01,2017
Wilson,2293966.98,6127.7,10695,2289399.68,december,2016,2016-12-01,2017
Yadkin,463297.25000000006,1105.79,1516.49,462886.5500000001,december,2016,2016-12-01,2017
Yancey,260160.22,631.99,619.04,260173.17,december,2016,2016-12-01,2017
Alamance,5113851.02,15245.45,4492.84,5124603.63,december,2017,2017-12-01,2018
Alexander,496375.51,1234.9,2530.25,495080.16,december,2017,2017-12-01,2018
Alleghany,172061.61,449.08,2571.11,169939.58,december,2017,2017-12-01,2018
Anson,347467.31,879.83,135.82999999999998,348211.31,december,2017,2017-12-01,2018
Ashe,593191.2100000001,1590.36,2964.8,591816.77,december,2017,2017-12-01,2018
Avery,453311.6,1254.52,6534.07,448032.05,december,2017,2017-12-01,2018
Beaufort,1012501.51,2925.26,-31188.07,1046614.84,december,2017,2017-12-01,2018
Bertie,205943.64,545.73,950.4,205538.97,december,2017,2017-12-01,2018
Bladen,516598.3000000001,1398.1,279.5,517716.9,december,2017,2017-12-01,2018
Brunswick,3145028.5300000003,9242.5,15521.94,3138749.0900000003,december,2017,2017-12-01,2018
Buncombe,12076744.02,34604.719999999994,20944.09,12090404.65,december,2017,2017-12-01,2018
Burke,1605223.9099999997,4208.56,46459.46000000001,1562973.0099999998,december,2017,2017-12-01,2018
Cabarrus,7116010.09,20417.03,17630.78,7118796.34,december,2017,2017-12-01,2018
Caldwell,1324170.91,3551.1400000000003,2838.27,1324883.78,december,2017,2017-12-01,2018
Camden,76929.97,183.02,3120.31,73992.68,december,2017,2017-12-01,2018
Carteret,2042300.11,5918.5,-5609.07,2053827.68,december,2017,2017-12-01,2018
Caswell,169269.77999999997,401.23,49.68,169621.33,december,2017,2017-12-01,2018
Catawba,5169910.91,14402.9,36918.91,5147394.9,december,2017,2017-12-01,2018
Chatham,1348491.15,3897.35,8043.92,1344344.58,december,2017,2017-12-01,2018
Cherokee,705135.5700000001,1884.94,8373.849999999999,698646.66,december,2017,2017-12-01,2018
Chowan,268128.51,735.52,920.82,267943.21,december,2017,2017-12-01,2018
Clay,160282.03999999998,432.57,1674.47,159040.13999999998,december,2017,2017-12-01,2018
Cleveland,2018648.48,5617.23,17334.06,2006931.65,december,2017,2017-12-01,2018
Columbus,929529.77,2547.42,2455.17,929622.02,december,2017,2017-12-01,2018
Craven,2236578.91,6443.22,1128.8,2241893.33,december,2017,2017-12-01,2018
Cumberland,9152120.53,25465.02,15750.27,9161835.28,december,2017,2017-12-01,2018
Currituck,524752.63,1500.85,1372.2,524881.28,december,2017,2017-12-01,2018
Dare,1904790.92,5652.64,8184.25,1902259.31,december,2017,2017-12-01,2018
Davidson,2853534.01,7439.67,4003.62,2856970.06,december,2017,2017-12-01,2018
Davie,710308.08,2004.48,963.95,711348.61,december,2017,2017-12-01,2018
Duplin,882123.2,2268.87,-67.83999999999999,884459.91,december,2017,2017-12-01,2018
Durham,15836976.57,46646.89,33004.13,15850619.33,december,2017,2017-12-01,2018
Edgecombe,977150.03,2525.21,787.9000000000002,978887.34,december,2017,2017-12-01,2018
Forsyth,11344640.77,33426.92,38923.47,11339144.22,december,2017,2017-12-01,2018
Franklin,919373.9,2574.09,1606.21,920341.78,december,2017,2017-12-01,2018
Gaston,4878238.83,13862.06,14106.1,4877994.79,december,2017,2017-12-01,2018
Gates,98292.49999999999,218.66,1221.12,97290.04,december,2017,2017-12-01,2018
Graham,129883.42,339.42,1580.55,128642.29,december,2017,2017-12-01,2018
Granville,807040.22,2177.8,123.11,809094.91,december,2017,2017-12-01,2018
Greene,183631.41,431.24,1335.74,182726.91,december,2017,2017-12-01,2018
Guilford,15122994.46,44497.21,44961.59,15122530.08,december,2017,2017-12-01,2018
Halifax,1146420.91,3064.84,2933.27,1146552.48,december,2017,2017-12-01,2018
Harnett,2044552.31,5454.9400000000005,3651.65,2046355.6,december,2017,2017-12-01,2018
Haywood,1639143.89,4457.17,5630.22,1637970.84,december,2017,2017-12-01,2018
Henderson,2609771.69,7538.17,7205.18,2610104.68,december,2017,2017-12-01,2018
Hertford,516731.12,1300.39,17012.79,501018.72,december,2017,2017-12-01,2018
Hoke,461147.44,1214.27,52.92,462308.79,december,2017,2017-12-01,2018
Hyde,82571.37,223.97,90.22,82705.11999999998,december,2017,2017-12-01,2018
Iredell,4795920.880000001,14004.67,73058.41,4736867.140000001,december,2017,2017-12-01,2018
Jackson,1046466.01,2867.77,2510.43,1046823.35,december,2017,2017-12-01,2018
Johnston,3925346.22,11447.94,4304.52,3932489.64,december,2017,2017-12-01,2018
Jones,108774.63,300.32,-495.46,109570.41,december,2017,2017-12-01,2018
Lee,1682112.1,4605.43,6750.49,1679967.04,december,2017,2017-12-01,2018
Lenoir,1141967.46,3186.17,-8343.8,1153497.43,december,2017,2017-12-01,2018
Lincoln,1700921.18,4867.36,1778.7,1704009.84,december,2017,2017-12-01,2018
Macon,1018090.81,2954.2000000000003,8587.01,1012458,december,2017,2017-12-01,2018
Madison,242909.41,632.97,231.41,243310.97,december,2017,2017-12-01,2018
Martin,470465.49,1252.34,457.66,471260.17,december,2017,2017-12-01,2018
McDowell,801631.16,2208.01,2246.56,801592.61,december,2017,2017-12-01,2018
Mecklenburg,47931558.26,146333.27,347685.82,47730205.71,december,2017,2017-12-01,2018
Mitchell,323003.54000000004,900.56,295.7,323608.4,december,2017,2017-12-01,2018
Montgomery,482033.78,1245.5,125.87,483153.41,december,2017,2017-12-01,2018
Moore,2604609.87,7606.62,4538.9000000000005,2607677.59,december,2017,2017-12-01,2018
Nash,2339996.5300000003,6642.04,5567.56,2341071.01,december,2017,2017-12-01,2018
New Hanover,9145955.52,26193.7,-5216.15,9177365.37,december,2017,2017-12-01,2018
Northampton,192355.54,517.11,664.02,192208.63,december,2017,2017-12-01,2018
Onslow,4385134.96,13843.22,-536080.84,4935059.02,december,2017,2017-12-01,2018
Orange,4022338.11,8125.08,996560.44,3033902.75,december,2017,2017-12-01,2018
Pamlico,206872.74,559.9000000000001,255.15,207177.49,december,2017,2017-12-01,2018
Pasquotank,1037139.67,2296.56,212851.45,826584.78,december,2017,2017-12-01,2018
Pender,928206.31,2607.62,1542.61,929271.32,december,2017,2017-12-01,2018
Perquimans,131944.07,326.09,1858.71,130411.45,december,2017,2017-12-01,2018
Person,705571.2899999999,1848.17,32934.950000000004,674484.51,december,2017,2017-12-01,2018
Pitt,5160417.12,14489.99,2226.28,5172680.83,december,2017,2017-12-01,2018
Polk,305837.56,832.6899999999998,71.5,306598.75,december,2017,2017-12-01,2018
Randolph,2597181.58,6835.4,6942.6,2597074.38,december,2017,2017-12-01,2018
Richmond,820099.34,2266.02,184.51,822180.85,december,2017,2017-12-01,2018
Robeson,2430896.02,6443.9000000000005,3953.3,2433386.62,december,2017,2017-12-01,2018
Rockingham,1569236.3,4207.6900000000005,8986.58,1564457.41,december,2017,2017-12-01,2018
Rowan,2788852.9000000004,7412.4,12795.02,2783470.2800000003,december,2017,2017-12-01,2018
Rutherford,1255941.94,3495.73,503.64,1258934.03,december,2017,2017-12-01,2018
Sampson,1063278.6,2777.33,1056.39,1064999.54,december,2017,2017-12-01,2018
Scotland,665909.99,1792.29,9649.11,658053.17,december,2017,2017-12-01,2018
Stanly,1273934.53,3566.98,-587.95,1278089.46,december,2017,2017-12-01,2018
Stokes,616054.1499999999,1678.5600000000002,-593.6700000000001,618326.38,december,2017,2017-12-01,2018
Surry,2045826.74,5493.71,16836.59,2034483.86,december,2017,2017-12-01,2018
Swain,285577.77,795.79,2651.4300000000003,283722.13,december,2017,2017-12-01,2018
Transylvania,698616.0000000001,1958.87,1758.28,698816.5900000001,december,2017,2017-12-01,2018
Tyrrell,55976.01,152.07,218.83,55909.25,december,2017,2017-12-01,2018
Union,4423267.3100000005,12927.16,10495.37,4425699.100000001,december,2017,2017-12-01,2018
Vance,1008690.67,2838.78,1325.3,1010204.15,december,2017,2017-12-01,2018
Wake,40456878.77,123169.88,144832.62,40435216.03,december,2017,2017-12-01,2018
Warren,176525.93000000002,423.24,2092.67,174856.5,december,2017,2017-12-01,2018
Washington,182497.11,456.34,5163.01,177790.44,december,2017,2017-12-01,2018
Watauga,1733176.02,5143.19,8216.220000000001,1730102.99,december,2017,2017-12-01,2018
Wayne,2529166.5500000003,7183.69,-4759.59,2541109.83,december,2017,2017-12-01,2018
Wilkes,1475759.3000000005,3951.18,2161.81,1477548.6700000002,december,2017,2017-12-01,2018
Wilson,2064215.02,5947.75,3478.71,2066684.06,december,2017,2017-12-01,2018
Yadkin,484690.56,1275.51,312.68,485653.39,december,2017,2017-12-01,2018
Yancey,262055.04,693.65,196.99,262551.7,december,2017,2017-12-01,2018
Alamance,5526939.07,3891.41,31822.59,5499007.890000001,december,2018,2018-12-01,2019
Alexander,514870.58,275.56,1015.47,514130.67,december,2018,2018-12-01,2019
Alleghany,177938.97,115.44,129.37,177925.04,december,2018,2018-12-01,2019
Anson,386209.93,211.31,523.98,385897.26,december,2018,2018-12-01,2019
Ashe,632534.34,365.35,264.44,632635.25,december,2018,2018-12-01,2019
Avery,546976.64,371.24,1729.46,545618.42,december,2018,2018-12-01,2019
Beaufort,1105073.71,594.71,188630.24,917038.18,december,2018,2018-12-01,2019
Bertie,194633.28,121.37,761.71,193992.94,december,2018,2018-12-01,2019
Bladen,502568.83,316.59000000000003,2629.1600000000003,500256.26,december,2018,2018-12-01,2019
Brunswick,3476241.0200000005,2005.38,555455.01,2922791.39,december,2018,2018-12-01,2019
Buncombe,12449410.510000002,7595.34,32333.48,12424672.37,december,2018,2018-12-01,2019
Burke,1666176.44,1111.99,15059.63,1652228.8,december,2018,2018-12-01,2019
Cabarrus,7850585.82,4535.61,433808.38,7421313.05,december,2018,2018-12-01,2019
Caldwell,1485178.63,960.05,2078.07,1484060.61,december,2018,2018-12-01,2019
Camden,114644.92,71.03,4489.13,110226.82,december,2018,2018-12-01,2019
Carteret,2588873.54,1811.68,73.64999999999996,2590611.57,december,2018,2018-12-01,2019
Caswell,185068.88,106.99,150.82999999999998,185025.04,december,2018,2018-12-01,2019
Catawba,5416412.01,3243.54,47795.33,5371860.22,december,2018,2018-12-01,2019
Chatham,1491719.9700000002,1053.98,-8248.5,1501022.4500000002,december,2018,2018-12-01,2019
Cherokee,756848.52,443,1001.03,756290.49,december,2018,2018-12-01,2019
Chowan,290247.4,221.28,1534.19,288934.49,december,2018,2018-12-01,2019
Clay,182074.76,101.24,261.47,181914.53,december,2018,2018-12-01,2019
Cleveland,2220110.8400000003,1487.58,5241.56,2216356.8600000003,december,2018,2018-12-01,2019
Columbus,1053551.19,702.92,2766.7200000000003,1051487.39,december,2018,2018-12-01,2019
Craven,2792340.62,1964.98,10876.38,2783429.22,december,2018,2018-12-01,2019
Cumberland,9776568.639999999,5473.14,573028.8400000001,9209012.94,december,2018,2018-12-01,2019
