county,gross_collections,taxable_sales,month,year,date,fiscal_year
Watauga,1867470.3,64028882,july,2000,2000-07-01,2001
Wayne,2578752.77,98880314,july,2000,2000-07-01,2001
Wilkes,1383083.42,62151839,july,2000,2000-07-01,2001
Wilson,1992501.28,91302084,july,2000,2000-07-01,2001
Yadkin,449602.59,18848312,july,2000,2000-07-01,2001
Yancey,260375.57,10143095,july,2000,2000-07-01,2001
Foreign,48893232.21,2229139370,july,2000,2000-07-01,2001
Alamance,3233647.35,143259545,august,2000,2000-08-01,2001
Alexander,258240.92,14908217,august,2000,2000-08-01,2001
Alleghany,159167.78,6473771,august,2000,2000-08-01,2001
Anson,233381.34,11608393,august,2000,2000-08-01,2001
Ashe,345761.5,14849823,august,2000,2000-08-01,2001
Avery,537654.18,19143907,august,2000,2000-08-01,2001
Beaufort,924220.46,36581810,august,2000,2000-08-01,2001
Bertie,92991.54,6864606,august,2000,2000-08-01,2001
Bladen,438917.36,26300100,august,2000,2000-08-01,2001
Brunswick,2932632.23,95610301,august,2000,2000-08-01,2001
Buncombe,7671968.61,280196586,august,2000,2000-08-01,2001
Burke,1211593.05,60680783,august,2000,2000-08-01,2001
Cabarrus,3830813.13,144287869,august,2000,2000-08-01,2001
Caldwell,1073330.58,54266782,august,2000,2000-08-01,2001
Camden,48554.82,2548783,august,2000,2000-08-01,2001
Carteret,2751420.65,89229755,august,2000,2000-08-01,2001
Caswell,101655.08,7776992,august,2000,2000-08-01,2001
Catawba,4638051.11,189843211,august,2000,2000-08-01,2001
Chatham,611753.66,30588806,august,2000,2000-08-01,2001
Cherokee,618305.1,27695561,august,2000,2000-08-01,2001
Chowan,240833.09,9850587,august,2000,2000-08-01,2001
Clay,126725.49,7036862,august,2000,2000-08-01,2001
Cleveland,1682454.51,83289405,august,2000,2000-08-01,2001
Columbus,853318.71,39519761,august,2000,2000-08-01,2001
Craven,1752084.63,80829195,august,2000,2000-08-01,2001
Cumberland,6179329.44,244486011,august,2000,2000-08-01,2001
