county,gross_collections,taxable_sales,month,year,date,fiscal_year
Davidson,3748254.6,83591538,august,2006,2006-08-01,2007
Davie,920607.15,20497724,august,2006,2006-08-01,2007
Duplin,1038168.05,23661911,august,2006,2006-08-01,2007
Durham,13636868.1,303845354,august,2006,2006-08-01,2007
Edgecombe,1180193.63,26337326,august,2006,2006-08-01,2007
Forsyth,16348714.98,366750797,august,2006,2006-08-01,2007
Franklin,1216770.26,27062514,august,2006,2006-08-01,2007
Gaston,6067441.22,134843485,august,2006,2006-08-01,2007
Gates,47315.92,1079764,august,2006,2006-08-01,2007
Graham,180839.68,4054147,august,2006,2006-08-01,2007
Granville,857538.53,19182685,august,2006,2006-08-01,2007
Greene,172109.49,3861323,august,2006,2006-08-01,2007
Guilford,21887742.05,485349796,august,2006,2006-08-01,2007
Halifax,1631707.19,36363378,august,2006,2006-08-01,2007
Harnett,2202799.7,49787513,august,2006,2006-08-01,2007
Haywood,2607093.76,57612592,august,2006,2006-08-01,2007
Henderson,3936658.8,86838252,august,2006,2006-08-01,2007
Hertford,794687.88,17825153,august,2006,2006-08-01,2007
Hoke,280613.16,6210030,august,2006,2006-08-01,2007
Hyde,343805.72,7606390,august,2006,2006-08-01,2007
Iredell,7280700.9,163179206,august,2006,2006-08-01,2007
Jackson,1818570.54,40382574,august,2006,2006-08-01,2007
Johnston,4884741.89,108422641,august,2006,2006-08-01,2007
Jones,116457.17,2584596,august,2006,2006-08-01,2007
Lee,2125955.69,50276571,august,2006,2006-08-01,2007
Lenoir,2058691.71,46841364,august,2006,2006-08-01,2007
Lincoln,1866041.67,42195389,august,2006,2006-08-01,2007
Macon,2168197.22,48379479,august,2006,2006-08-01,2007
Madison,227112.44,5050161,august,2006,2006-08-01,2007
Martin,628609.81,13943815,august,2006,2006-08-01,2007
McDowell,1123846.24,24929519,august,2006,2006-08-01,2007
Mecklenburg,53917522.83,1198910344,august,2006,2006-08-01,2007
Mitchell,759177.2,16901140,august,2006,2006-08-01,2007
Montgomery,587271.58,13305005,august,2006,2006-08-01,2007
Moore,3379967.8,80371936,august,2006,2006-08-01,2007
Nash,3675633.79,84289175,august,2006,2006-08-01,2007
New Hanover,13058416.21,291517436,august,2006,2006-08-01,2007
Northampton,145061.54,3501526,august,2006,2006-08-01,2007
Onslow,5550367.18,123745383,august,2006,2006-08-01,2007
Orange,3772760.77,83518086,august,2006,2006-08-01,2007
Pamlico,175867.95,3948888,august,2006,2006-08-01,2007
Pasquotank,1858431.06,41349643,august,2006,2006-08-01,2007
Pender,1424188.06,31628044,august,2006,2006-08-01,2007
Perquimans,128223.59,2818033,august,2006,2006-08-01,2007
Person,1126872.72,25118398,august,2006,2006-08-01,2007
Pitt,5611244.01,125231815,august,2006,2006-08-01,2007
Polk,248550.17,5517501,august,2006,2006-08-01,2007
Randolph,3119625.32,69468770,august,2006,2006-08-01,2007
Richmond,750586.66,17073785,august,2006,2006-08-01,2007
Robeson,3160621.76,71756890,august,2006,2006-08-01,2007
Rockingham,2255425.98,50310034,august,2006,2006-08-01,2007
Rowan,3175085.98,71110926,august,2006,2006-08-01,2007
Rutherford,1875879.21,41748564,august,2006,2006-08-01,2007
Sampson,1415461.53,31866537,august,2006,2006-08-01,2007
Scotland,1149674.11,27389418,august,2006,2006-08-01,2007
Stanly,1937424.14,44658411,august,2006,2006-08-01,2007
Stokes,505670.9,11291322,august,2006,2006-08-01,2007
Surry,2926889.13,65210235,august,2006,2006-08-01,2007
Swain,427851.27,9532132,august,2006,2006-08-01,2007
Transylvania,1416973.08,31572861,august,2006,2006-08-01,2007
Tyrrell,41707.55,958045,august,2006,2006-08-01,2007
Union,5016958.51,112851720,august,2006,2006-08-01,2007
Vance,1499086.55,34437541,august,2006,2006-08-01,2007
Wake,44014171.78,975884743,august,2006,2006-08-01,2007
Warren,197877.43,4400465,august,2006,2006-08-01,2007
Washington,186090.37,4125188,august,2006,2006-08-01,2007
Watauga,3291582.47,73027463,august,2006,2006-08-01,2007
Wayne,3990458.93,89165901,august,2006,2006-08-01,2007
Wilkes,1726336.98,38667073,august,2006,2006-08-01,2007
Wilson,2992082.61,66868818,august,2006,2006-08-01,2007
Yadkin,492746.03,10948918,august,2006,2006-08-01,2007
Yancey,495976.24,11123313,august,2006,2006-08-01,2007
Foreign,-16690369.08,1272376279,august,2006,2006-08-01,2007
Alamance,4687862.04,105084807,september,2006,2006-09-01,2007
Alexander,452861.11,10200482,september,2006,2006-09-01,2007
Alleghany,293914.3,6579203,september,2006,2006-09-01,2007
Anson,351165.35,7869365,september,2006,2006-09-01,2007
Ashe,631095.34,13970439,september,2006,2006-09-01,2007
Avery,711069.18,15463985,september,2006,2006-09-01,2007
Beaufort,1124984.03,25542324,september,2006,2006-09-01,2007
Bertie,137176.76,3295499,september,2006,2006-09-01,2007
Bladen,498009.8,11621744,september,2006,2006-09-01,2007
Brunswick,4243075.27,94139566,september,2006,2006-09-01,2007
Buncombe,11622017.25,259647124,september,2006,2006-09-01,2007
Burke,1468112.07,33086822,september,2006,2006-09-01,2007
Cabarrus,6376917.59,141705648,september,2006,2006-09-01,2007
Caldwell,1501402.82,33513511,september,2006,2006-09-01,2007
Camden,166781.14,3737244,september,2006,2006-09-01,2007
Carteret,3871753.82,86923245,september,2006,2006-09-01,2007
Caswell,115412.46,2548798,september,2006,2006-09-01,2007
Catawba,6388358.63,143601898,september,2006,2006-09-01,2007
Chatham,1150003.41,25690198,september,2006,2006-09-01,2007
Cherokee,908179.03,20390109,september,2006,2006-09-01,2007
Chowan,305428.42,6764967,september,2006,2006-09-01,2007
Clay,202423.57,4416546,september,2006,2006-09-01,2007
Cleveland,2215573.91,49796345,september,2006,2006-09-01,2007
Columbus,1124673.95,25146144,september,2006,2006-09-01,2007
Craven,2858077.45,64317993,september,2006,2006-09-01,2007
Cumberland,9168847.27,204985841,september,2006,2006-09-01,2007
Currituck,1204172.05,26753540,september,2006,2006-09-01,2007
Dare,8838475.2,196952190,september,2006,2006-09-01,2007
Davidson,2985084.22,67149929,september,2006,2006-09-01,2007
Davie,697392.2,16808804,september,2006,2006-09-01,2007
Duplin,820651.2,18851516,september,2006,2006-09-01,2007
Durham,11795707.48,261655753,september,2006,2006-09-01,2007
Edgecombe,928985.9,20956647,september,2006,2006-09-01,2007
Forsyth,14703434.2,328892158,september,2006,2006-09-01,2007
Franklin,1306440.92,29213039,september,2006,2006-09-01,2007
Gaston,5000359.91,112195296,september,2006,2006-09-01,2007
Gates,42366.4,966517,september,2006,2006-09-01,2007
Graham,142126.61,3175875,september,2006,2006-09-01,2007
Granville,827218.27,18509284,september,2006,2006-09-01,2007
Greene,147305.35,3298913,september,2006,2006-09-01,2007
Guilford,20931859.040000003,466315876,september,2006,2006-09-01,2007
Halifax,1175241.32,26291997,september,2006,2006-09-01,2007
Harnett,1717965.9,39681609,september,2006,2006-09-01,2007
Haywood,1875228.95,41765342,september,2006,2006-09-01,2007
Henderson,3025441.01,67908832,september,2006,2006-09-01,2007
Hertford,711170.77,15237371,september,2006,2006-09-01,2007
Hoke,273555.63,6044523,september,2006,2006-09-01,2007
Hyde,263954.86,5863015,september,2006,2006-09-01,2007
Iredell,5715370.84,128322582,september,2006,2006-09-01,2007
Jackson,1298983.34,28873177,september,2006,2006-09-01,2007
Johnston,3731982.73,83282781,september,2006,2006-09-01,2007
Jones,126692.68,2826676,september,2006,2006-09-01,2007
Lee,1899014.66,44996255,september,2006,2006-09-01,2007
Lenoir,1798590.08,41233095,september,2006,2006-09-01,2007
Lincoln,1576273.4,36449399,september,2006,2006-09-01,2007
Macon,1674669.5,37387702,september,2006,2006-09-01,2007
Madison,221058.46,4940508,september,2006,2006-09-01,2007
Martin,496185.66,10982273,september,2006,2006-09-01,2007
McDowell,826970.78,18439306,september,2006,2006-09-01,2007
Mecklenburg,48190128.480000004,1071178335,september,2006,2006-09-01,2007
Mitchell,511506.48,11431476,september,2006,2006-09-01,2007
Montgomery,458427.44,10748518,september,2006,2006-09-01,2007
Moore,2785452.36,61841914,september,2006,2006-09-01,2007
Nash,3020231.58,69265157,september,2006,2006-09-01,2007
New Hanover,11513152.08,203755839,september,2006,2006-09-01,2007
Northampton,129793.95,3063149,september,2006,2006-09-01,2007
Onslow,4240484.8,94394484,september,2006,2006-09-01,2007
Orange,3583227.26,79096628,september,2006,2006-09-01,2007
Pamlico,198442.74,4560031,september,2006,2006-09-01,2007
Pasquotank,1337251.64,29698840,september,2006,2006-09-01,2007
Pender,1096609.83,24427972,september,2006,2006-09-01,2007
Perquimans,147862.99,3258358,september,2006,2006-09-01,2007
Person,901339.09,20056713,september,2006,2006-09-01,2007
Pitt,5101995.62,114057281,september,2006,2006-09-01,2007
Polk,271385.2,6068451,september,2006,2006-09-01,2007
Randolph,2538010.35,56606659,september,2006,2006-09-01,2007
Richmond,858217.25,19210697,september,2006,2006-09-01,2007
Robeson,2452452.35,56127309,september,2006,2006-09-01,2007
Rockingham,1618939.41,36176152,september,2006,2006-09-01,2007
Rowan,2633725.26,59387599,september,2006,2006-09-01,2007
Rutherford,1325705.72,29861078,september,2006,2006-09-01,2007
Sampson,1125600.44,25448337,september,2006,2006-09-01,2007
Scotland,888468.07,21585945,september,2006,2006-09-01,2007
Stanly,1664153.16,38195066,september,2006,2006-09-01,2007
Stokes,541093.46,12072627,september,2006,2006-09-01,2007
Surry,2269035.78,50700373,september,2006,2006-09-01,2007
Swain,298816.17,6667996,september,2006,2006-09-01,2007
Transylvania,1022344.05,22789090,september,2006,2006-09-01,2007
Tyrrell,52570.38,1245458,september,2006,2006-09-01,2007
Union,4205557.25,94063233,september,2006,2006-09-01,2007
Vance,1209030.48,28066194,september,2006,2006-09-01,2007
Wake,39997768.86,886800838,september,2006,2006-09-01,2007
Warren,208957.03,4680797,september,2006,2006-09-01,2007
Washington,178454.9,3961486,september,2006,2006-09-01,2007
Watauga,2553522.03,56837559,september,2006,2006-09-01,2007
Wayne,3233793.11,72394523,september,2006,2006-09-01,2007
Wilkes,1442886.26,32234474,september,2006,2006-09-01,2007
Wilson,2416826.8,54470425,september,2006,2006-09-01,2007
Yadkin,604165.17,13474745,september,2006,2006-09-01,2007
Yancey,489416.33,11001664,september,2006,2006-09-01,2007
Foreign,69874025.91000001,1344031559,september,2006,2006-09-01,2007
Alamance,4057312.92,90720952,october,2006,2006-10-01,2007
Alexander,271142.12,6083025,october,2006,2006-10-01,2007
Alleghany,239052.62,5332612,october,2006,2006-10-01,2007
Anson,256715.26,5779307,october,2006,2006-10-01,2007
Ashe,446255.64,9897589,october,2006,2006-10-01,2007
Avery,650046.22,14423630,october,2006,2006-10-01,2007
Beaufort,904149.33,20279869,october,2006,2006-10-01,2007
Bertie,120738.93,2753017,october,2006,2006-10-01,2007
Bladen,326105.22,7710994,october,2006,2006-10-01,2007
Brunswick,2920778.58,65185922,october,2006,2006-10-01,2007
Buncombe,10376693.18,234967593,october,2006,2006-10-01,2007
Burke,1355571.26,30460932,october,2006,2006-10-01,2007
Cabarrus,5444960.45,121017405,october,2006,2006-10-01,2007
Caldwell,1347834.53,30165264,october,2006,2006-10-01,2007
Camden,150950.78,3404107,october,2006,2006-10-01,2007
Carteret,2407067.67,54170154,october,2006,2006-10-01,2007
Caswell,102448.7,2298346,october,2006,2006-10-01,2007
Catawba,5339240.74,120588349,october,2006,2006-10-01,2007
Chatham,829790.97,18612241,october,2006,2006-10-01,2007
Cherokee,791492.37,18016210,october,2006,2006-10-01,2007
Chowan,275346.26,6072108,october,2006,2006-10-01,2007
Clay,206786.29,4700913,october,2006,2006-10-01,2007
Cleveland,2004520.43,44747224,october,2006,2006-10-01,2007
Columbus,922423.09,20860106,october,2006,2006-10-01,2007
Craven,2294141.04,51436628,october,2006,2006-10-01,2007
Cumberland,7649715.09,171101355,october,2006,2006-10-01,2007
Currituck,756840.32,16895670,october,2006,2006-10-01,2007
Dare,4861298.23,107542527,october,2006,2006-10-01,2007
Davidson,2676484.26,59821422,october,2006,2006-10-01,2007
Davie,601175.89,13668019,october,2006,2006-10-01,2007
Duplin,693282.15,16049449,october,2006,2006-10-01,2007
Durham,11967039.36,266268672,october,2006,2006-10-01,2007
Edgecombe,864071.07,19492040,october,2006,2006-10-01,2007
Forsyth,12465249.85,278159597,october,2006,2006-10-01,2007
Franklin,950417.79,21216544,october,2006,2006-10-01,2007
Gaston,3948819.43,88807289,october,2006,2006-10-01,2007
Gates,48743.97,1100023,october,2006,2006-10-01,2007
Graham,151929.66,3357074,october,2006,2006-10-01,2007
Granville,665105.29,14931864,october,2006,2006-10-01,2007
Greene,114281.14,2604358,october,2006,2006-10-01,2007
Guilford,18236914.06,407922140,october,2006,2006-10-01,2007
Halifax,850282.67,18937641,october,2006,2006-10-01,2007
Harnett,1449762.48,34131666,october,2006,2006-10-01,2007
Haywood,1730226.14,38356704,october,2006,2006-10-01,2007
Henderson,2723260.82,60871306,october,2006,2006-10-01,2007
Hertford,542542.14,12230185,october,2006,2006-10-01,2007
Hoke,259146.77,5754403,october,2006,2006-10-01,2007
Hyde,171713.93,3790901,october,2006,2006-10-01,2007
Iredell,4887280.35,109882118,october,2006,2006-10-01,2007
Jackson,1033898.29,22859421,october,2006,2006-10-01,2007
Johnston,3656239.64,81925557,october,2006,2006-10-01,2007
Jones,108450.09,2437045,october,2006,2006-10-01,2007
Lee,1658268.99,38633783,october,2006,2006-10-01,2007
Lenoir,1256076.24,27023782,october,2006,2006-10-01,2007
Lincoln,1406221.42,31734999,october,2006,2006-10-01,2007
Macon,1405118.13,31308197,october,2006,2006-10-01,2007
Madison,205069.66,4328992,october,2006,2006-10-01,2007
Martin,349941.65,7854348,october,2006,2006-10-01,2007
McDowell,715020.52,16075271,october,2006,2006-10-01,2007
Mecklenburg,43455251.4,963570222,october,2006,2006-10-01,2007
Mitchell,328322.05,7399973,october,2006,2006-10-01,2007
Montgomery,299593.57,6812639,october,2006,2006-10-01,2007
Moore,2479747.49,56384501,october,2006,2006-10-01,2007
Nash,2585934.96,59489383,october,2006,2006-10-01,2007
New Hanover,9357977.97,209448068,october,2006,2006-10-01,2007
Northampton,125274.51,3227996,october,2006,2006-10-01,2007
Onslow,3119080.59,69278982,october,2006,2006-10-01,2007
Orange,3137648.25,69019811,october,2006,2006-10-01,2007
Pamlico,161257.17,3617298,october,2006,2006-10-01,2007
Pasquotank,1093907.76,24333725,october,2006,2006-10-01,2007
Pender,825854.67,18418508,october,2006,2006-10-01,2007
Perquimans,122980.3,2824440,october,2006,2006-10-01,2007
Person,691398.04,15412301,october,2006,2006-10-01,2007
Pitt,4337934.99,96952852,october,2006,2006-10-01,2007
Polk,259114.76,5759376,october,2006,2006-10-01,2007
Randolph,2213654.79,49788349,october,2006,2006-10-01,2007
Richmond,706246.15,15904392,october,2006,2006-10-01,2007
Robeson,2414745.2,54419970,october,2006,2006-10-01,2007
Rockingham,1277997.27,28544139,october,2006,2006-10-01,2007
Rowan,2506890.78,56057284,october,2006,2006-10-01,2007
Rutherford,1165180.95,26092071,october,2006,2006-10-01,2007
Sampson,851404.59,19409298,october,2006,2006-10-01,2007
Scotland,641984.72,14515769,october,2006,2006-10-01,2007
Stanly,1452079.83,34348651,october,2006,2006-10-01,2007
Stokes,460770.88,13274185,october,2006,2006-10-01,2007
Surry,1854686.24,41581786,october,2006,2006-10-01,2007
Swain,284513.59,6370057,october,2006,2006-10-01,2007
Transylvania,899142.91,19977364,october,2006,2006-10-01,2007
Tyrrell,47727.44,1069717,october,2006,2006-10-01,2007
Union,4037006.67,90350758,october,2006,2006-10-01,2007
Vance,947890.26,21478000,october,2006,2006-10-01,2007
Wake,33839751.06,749932070,october,2006,2006-10-01,2007
Warren,172884.18,3864387,october,2006,2006-10-01,2007
Washington,157189.82,3472117,october,2006,2006-10-01,2007
Watauga,2329638.62,51341135,october,2006,2006-10-01,2007
Wayne,2844875.81,63420657,october,2006,2006-10-01,2007
Wilkes,1259613.33,28090617,october,2006,2006-10-01,2007
Wilson,1986668.22,44591804,october,2006,2006-10-01,2007
Yadkin,568732.95,12566996,october,2006,2006-10-01,2007
Yancey,447392.28,10089301,october,2006,2006-10-01,2007
Foreign,165266647.42,1193916220,october,2006,2006-10-01,2007
Alamance,5234716.23,116302967,november,2006,2006-11-01,2007
Alexander,489593.54,10777776,november,2006,2006-11-01,2007
Alleghany,295260.95,6544216,november,2006,2006-11-01,2007
Anson,390890.35,8662451,november,2006,2006-11-01,2007
Ashe,657529.44,14644870,november,2006,2006-11-01,2007
Avery,745293.22,16508094,november,2006,2006-11-01,2007
Beaufort,1358506.67,25543130,november,2006,2006-11-01,2007
Bertie,136560.12,3029772,november,2006,2006-11-01,2007
Bladen,511939.54,11355631,november,2006,2006-11-01,2007
Brunswick,3162000.69,70396088,november,2006,2006-11-01,2007
Buncombe,13189969.67,292497367,november,2006,2006-11-01,2007
Burke,1612773.63,35770470,november,2006,2006-11-01,2007
Cabarrus,7227151.69,159949358,november,2006,2006-11-01,2007
Caldwell,1603279.9,35614908,november,2006,2006-11-01,2007
Camden,131938.22,2950876,november,2006,2006-11-01,2007
Carteret,2939031.74,82287991,november,2006,2006-11-01,2007
Caswell,125700.61,2789051,november,2006,2006-11-01,2007
Catawba,6744693.76,149606466,november,2006,2006-11-01,2007
Chatham,1157200.8,25472428,november,2006,2006-11-01,2007
Cherokee,1106804.64,24718978,november,2006,2006-11-01,2007
Chowan,334171.41,7290899,november,2006,2006-11-01,2007
Clay,219469.91,4851660,november,2006,2006-11-01,2007
Cleveland,2350589.17,52290134,november,2006,2006-11-01,2007
Columbus,1224773.73,27114520,november,2006,2006-11-01,2007
Craven,3131856.76,69542270,november,2006,2006-11-01,2007
Cumberland,10092250.04,224930878,november,2006,2006-11-01,2007
Currituck,688596,15341113,november,2006,2006-11-01,2007
Dare,3915277.9,86824050,november,2006,2006-11-01,2007
Davidson,3378402.7,75555638,november,2006,2006-11-01,2007
Davie,737283.02,17006591,november,2006,2006-11-01,2007
Duplin,975540.24,21930918,november,2006,2006-11-01,2007
Durham,15814973.93,349060561,november,2006,2006-11-01,2007
Edgecombe,984544.69,21763610,november,2006,2006-11-01,2007
Forsyth,15454480.89,340028839,november,2006,2006-11-01,2007
Franklin,1107741.01,24559515,november,2006,2006-11-01,2007
Gaston,5703295.03,126551252,november,2006,2006-11-01,2007
Gates,59922.97,1353814,november,2006,2006-11-01,2007
Graham,173805.35,3776732,november,2006,2006-11-01,2007
Granville,796199.87,17542557,november,2006,2006-11-01,2007
Greene,162385.68,3602040,november,2006,2006-11-01,2007
Guilford,23829492.65,529718689,november,2006,2006-11-01,2007
Halifax,1334921.05,29631667,november,2006,2006-11-01,2007
Harnett,1956637.72,45627265,november,2006,2006-11-01,2007
Haywood,2313559.16,51331358,november,2006,2006-11-01,2007
Henderson,3523443.84,138301353,november,2006,2006-11-01,2007
Hertford,656886.82,13362519,november,2006,2006-11-01,2007
Hoke,286731.27,6365899,november,2006,2006-11-01,2007
Hyde,173735.16,3847165,november,2006,2006-11-01,2007
Iredell,6827196.2,151444906,november,2006,2006-11-01,2007
Jackson,1410015.89,31298427,november,2006,2006-11-01,2007
Johnston,4215543.89,93771661,november,2006,2006-11-01,2007
Jones,98382.79,2114505,november,2006,2006-11-01,2007
Lee,2025409.37,46254058,november,2006,2006-11-01,2007
Lenoir,1956535.31,43608475,november,2006,2006-11-01,2007
Lincoln,1699256.42,38901122,november,2006,2006-11-01,2007
Macon,1897189.56,42156821,november,2006,2006-11-01,2007
Madison,227677.03,5080240,november,2006,2006-11-01,2007
Martin,511544.14,11316138,november,2006,2006-11-01,2007
McDowell,898584.69,19941152,november,2006,2006-11-01,2007
Mecklenburg,56548187.45,1253817942,november,2006,2006-11-01,2007
Mitchell,486150.01,10816719,november,2006,2006-11-01,2007
Montgomery,572766.59,13208980,november,2006,2006-11-01,2007
Moore,3179244.64,70884056,november,2006,2006-11-01,2007
Nash,3464288.84,77640720,november,2006,2006-11-01,2007
New Hanover,11296866.92,250867590,november,2006,2006-11-01,2007
Northampton,144723.13,3331987,november,2006,2006-11-01,2007
Onslow,4667147.89,104002390,november,2006,2006-11-01,2007
Orange,3536931.75,78523300,november,2006,2006-11-01,2007
Pamlico,266298.27,5962473,november,2006,2006-11-01,2007
Pasquotank,1562137.81,34589711,november,2006,2006-11-01,2007
Pender,948900.27,21078642,november,2006,2006-11-01,2007
Perquimans,143146.43,3166653,november,2006,2006-11-01,2007
Person,939760.56,20883813,november,2006,2006-11-01,2007
Pitt,5449538.73,121244964,november,2006,2006-11-01,2007
Polk,259643.97,5755942,november,2006,2006-11-01,2007
Randolph,2778455.71,61567584,november,2006,2006-11-01,2007
Richmond,1043574.31,23218346,november,2006,2006-11-01,2007
Robeson,2663818.72,59138461,november,2006,2006-11-01,2007
Rockingham,1840847.84,40880410,november,2006,2006-11-01,2007
Rowan,2880865.26,63790749,november,2006,2006-11-01,2007
Rutherford,1569000.72,35416881,november,2006,2006-11-01,2007
Sampson,1241459.81,27674737,november,2006,2006-11-01,2007
Scotland,976872.69,24040626,november,2006,2006-11-01,2007
Stanly,1744299.09,39933189,november,2006,2006-11-01,2007
Stokes,589251.12,12990921,november,2006,2006-11-01,2007
Surry,2669148.44,59306732,november,2006,2006-11-01,2007
Swain,328186.17,7319868,november,2006,2006-11-01,2007
Transylvania,1120540.93,24775646,november,2006,2006-11-01,2007
Tyrrell,54088.37,1161577,november,2006,2006-11-01,2007
Union,4706765.98,104364915,november,2006,2006-11-01,2007
Vance,1340502.84,30014808,november,2006,2006-11-01,2007
Wake,43293713.239999995,959651752,november,2006,2006-11-01,2007
Warren,173121.34,3844634,november,2006,2006-11-01,2007
Washington,206663.99,4541456,november,2006,2006-11-01,2007
Watauga,2900624.36,64285252,november,2006,2006-11-01,2007
Wayne,3394501.88,76229553,november,2006,2006-11-01,2007
Wilkes,1711345.1,37978359,november,2006,2006-11-01,2007
Wilson,3483318.73,67486324,november,2006,2006-11-01,2007
Yadkin,614535.58,13597851,november,2006,2006-11-01,2007
Yancey,561695.73,12478101,november,2006,2006-11-01,2007
Foreign,21094337.64,1665243899,november,2006,2006-11-01,2007
Alamance,4926210.14,109115886,december,2006,2006-12-01,2007
Alexander,395428.06,8817598,december,2006,2006-12-01,2007
Alleghany,241953.07,5356241,december,2006,2006-12-01,2007
Anson,351064.75,7792398,december,2006,2006-12-01,2007
Ashe,713549.23,15824031,december,2006,2006-12-01,2007
Avery,553001.57,12262081,december,2006,2006-12-01,2007
Beaufort,1334455.79,29818578,december,2006,2006-12-01,2007
Bertie,138309.23,3176004,december,2006,2006-12-01,2007
Bladen,453922.11,9953454,december,2006,2006-12-01,2007
Brunswick,3046652.53,67831080,december,2006,2006-12-01,2007
Buncombe,11601676.92,257188248,december,2006,2006-12-01,2007
Burke,1560981.63,34934473,december,2006,2006-12-01,2007
Cabarrus,6667972.2700000005,148825758,december,2006,2006-12-01,2007
Caldwell,1510859.49,33503588,december,2006,2006-12-01,2007
Camden,143529.87,3279962,december,2006,2006-12-01,2007
Carteret,2506779.94,55975185,december,2006,2006-12-01,2007
Caswell,105353.75,2308262,december,2006,2006-12-01,2007
Catawba,6231485.44,138656557,december,2006,2006-12-01,2007
Chatham,1103006.23,24456961,december,2006,2006-12-01,2007
Cherokee,1110588.07,24656151,december,2006,2006-12-01,2007
Chowan,329420.85,7294103,december,2006,2006-12-01,2007
Clay,182701.56,4047648,december,2006,2006-12-01,2007
Cleveland,2252820.3,50042414,december,2006,2006-12-01,2007
Columbus,1036644.73,22982801,december,2006,2006-12-01,2007
Craven,2838219.02,63294103,december,2006,2006-12-01,2007
Cumberland,9631571.21,214331401,december,2006,2006-12-01,2007
Currituck,633267.2,13802933,december,2006,2006-12-01,2007
Dare,2304043.91,51105629,december,2006,2006-12-01,2007
Davidson,3562675.08,79293023,december,2006,2006-12-01,2007
Davie,789998.48,17436686,december,2006,2006-12-01,2007
Duplin,802588.15,17968918,december,2006,2006-12-01,2007
Durham,12508682.11,277715796,december,2006,2006-12-01,2007
Edgecombe,1044893.57,23063588,december,2006,2006-12-01,2007
Forsyth,15260962.5,341122149,december,2006,2006-12-01,2007
Franklin,1047431.94,23237100,december,2006,2006-12-01,2007
Gaston,5220661.42,115473455,december,2006,2006-12-01,2007
Gates,48736.11,1073979,december,2006,2006-12-01,2007
Graham,132734.2,2947173,december,2006,2006-12-01,2007
Granville,719128.94,15919030,december,2006,2006-12-01,2007
Greene,180800.92,4003872,december,2006,2006-12-01,2007
Guilford,21925177.46,486070360,december,2006,2006-12-01,2007
Halifax,1339598.94,29717794,december,2006,2006-12-01,2007
Harnett,1799101.52,40961788,december,2006,2006-12-01,2007
Haywood,1982255.34,43963357,december,2006,2006-12-01,2007
Henderson,3042520.79,67342173,december,2006,2006-12-01,2007
Hertford,575197.01,12782899,december,2006,2006-12-01,2007
Hoke,180305.98,4001335,december,2006,2006-12-01,2007
Hyde,83753.25,1835395,december,2006,2006-12-01,2007
Iredell,6109385.07,136023238,december,2006,2006-12-01,2007
Jackson,1227524.28,27145395,december,2006,2006-12-01,2007
Johnston,4333399.94,96543898,december,2006,2006-12-01,2007
Jones,78320.23,1709560,december,2006,2006-12-01,2007
Lee,1831051.24,41038603,december,2006,2006-12-01,2007
Lenoir,1656799.89,34698128,december,2006,2006-12-01,2007
Lincoln,1644200.33,36917135,december,2006,2006-12-01,2007
Macon,1486823.03,33060302,december,2006,2006-12-01,2007
Madison,158930.97,3509989,december,2006,2006-12-01,2007
Martin,478707.89,10506825,december,2006,2006-12-01,2007
McDowell,885118.01,19672735,december,2006,2006-12-01,2007
Mecklenburg,49884772.199999996,1105595201,december,2006,2006-12-01,2007
Mitchell,449483.97,10003506,december,2006,2006-12-01,2007
Montgomery,394057.11,8762256,december,2006,2006-12-01,2007
Moore,3027369.53,67461884,december,2006,2006-12-01,2007
Nash,3017598.97,67500874,december,2006,2006-12-01,2007
New Hanover,9882891.55,220002891,december,2006,2006-12-01,2007
Northampton,117023.87,2631478,december,2006,2006-12-01,2007
Onslow,3909804.74,87073918,december,2006,2006-12-01,2007
Orange,3676692.89,81093767,december,2006,2006-12-01,2007
Pamlico,157255.88,3438488,december,2006,2006-12-01,2007
Pasquotank,1487399.59,32998869,december,2006,2006-12-01,2007
Pender,749904.17,16719933,december,2006,2006-12-01,2007
Perquimans,122214.84,2710392,december,2006,2006-12-01,2007
Person,889095.28,19669755,december,2006,2006-12-01,2007
Pitt,5327762.79,117877531,december,2006,2006-12-01,2007
Polk,238030.86,5283931,december,2006,2006-12-01,2007
Randolph,2774196.39,61529001,december,2006,2006-12-01,2007
Richmond,974590.55,21893171,december,2006,2006-12-01,2007
Robeson,2291848.28,50079059,december,2006,2006-12-01,2007
Rockingham,1732179.03,38417274,december,2006,2006-12-01,2007
Rowan,2619186.64,57968407,december,2006,2006-12-01,2007
Rutherford,1463008.69,32822779,december,2006,2006-12-01,2007
Sampson,1167855.5,25998277,december,2006,2006-12-01,2007
Scotland,997590.88,23370553,december,2006,2006-12-01,2007
Stanly,1685823.65,38345447,december,2006,2006-12-01,2007
Stokes,505672.62,11173370,december,2006,2006-12-01,2007
Surry,2449900.04,54333420,december,2006,2006-12-01,2007
Swain,223800.67,4983648,december,2006,2006-12-01,2007
Transylvania,982725.92,21791530,december,2006,2006-12-01,2007
Tyrrell,43641.46,963113,december,2006,2006-12-01,2007
Union,4326668.33,95828010,december,2006,2006-12-01,2007
Vance,1447006.54,32514411,december,2006,2006-12-01,2007
Wake,40332857.22,894961452,december,2006,2006-12-01,2007
Warren,144237.39,3130572,december,2006,2006-12-01,2007
Washington,161240.44,3613829,december,2006,2006-12-01,2007
Watauga,2463915.12,54598252,december,2006,2006-12-01,2007
Wayne,3718041.83,82711109,december,2006,2006-12-01,2007
